date,open,high,low,close,adj_close,range_over_open,range_change,range_move,price_change,tomo_price_move,volume,qty_change,qty_move,5d_avg_range,change_in_5d_avg_range,5d_avg_range_move,5d_avg_px,change_in_5d_avg_px,5d_avg_px_move,5d_avg_qty,change_in_5d_avg_qty,5d_avg_qty_move,10d_avg_px,change_in_10d_avg_px,10d_avg_px_move
8/28/2015,0.675,0.675,0.655,0.66,0.66,0.02962963,-0.008249158,Down,-0.01,Down,405710,-105029,Down,0.040382622,-0.015949074,Down,0.648,-0.004,Down,497289.2,-111904,Down,0.6655,-0.005,Down
8/31/2015,0.66,0.66,0.635,0.635,0.635,0.037878788,0.008249158,Up,-0.025,Down,713275,307565,Up,0.037105667,-0.003276956,Down,0.649,0.001,Up,520245.2,22956,Up,0.659,-0.0065,Down
9/1/2015,0.605,0.635,0.605,0.625,0.625,0.049586777,0.011707989,Up,-0.01,Up,4963009,4249734,Up,0.034119796,-0.00298587,Down,0.647,-0.002,Down,1347102,826856.8,Up,0.6505,-0.0085,Down
9/2/2015,0.615,0.63,0.615,0.63,0.63,0.024390244,-0.025196533,Down,0.005,Down,884435,-4078574,Down,0.035872845,0.001753049,Up,0.644,-0.003,Down,1495433.6,148331.6,Up,0.645,-0.0055,Down
9/3/2015,0.63,0.63,0.615,0.62,0.62,0.023809524,-0.00058072,Down,-0.01,Up,262097,-622338,Down,0.033058992,-0.002813853,Down,0.634,-0.01,Down,1445705.2,-49728.4,Down,0.643,-0.002,Down
9/4/2015,0.62,0.63,0.615,0.63,0.63,0.024193548,0.000384025,Up,0.01,Up,422557,160460,Up,0.031971776,-0.001087216,Down,0.628,-0.006,Down,1449074.6,3369.4,Up,0.638,-0.005,Down
9/7/2015,0.63,0.67,0.62,0.66,0.66,0.079365079,0.055171531,Up,0.03,Down,4509782,4087225,Up,0.040269034,0.008297258,Up,0.633,0.005,Up,2208376,759301.4,Up,0.641,0.003,Up
9/8/2015,0.665,0.665,0.64,0.645,0.645,0.037593985,-0.041771094,Down,-0.015,Up,4075837,-433945,Down,0.037870476,-0.002398558,Down,0.637,0.004,Up,2030941.6,-177434.4,Down,0.642,0.001,Up
9/9/2015,0.655,0.66,0.645,0.655,0.655,0.022900763,-0.014693222,Down,0.01,Down,1038204,-3037633,Down,0.03757258,-0.000297896,Down,0.642,0.005,Up,2061695.4,30753.8,Up,0.643,0.001,Up
9/10/2015,0.655,0.675,0.645,0.65,0.65,0.045801527,0.022900763,Up,-0.005,Down,1937993,899789,Up,0.041970981,0.004398401,Up,0.648,0.006,Up,2396874.6,335179.2,Up,0.641,-0.002,Down
9/11/2015,0.65,0.665,0.64,0.64,0.64,0.038461538,-0.007339988,Down,-0.01,Up,806472,-1131521,Down,0.044824579,0.002853598,Up,0.65,0.002,Up,2473657.6,76783,Up,0.639,-0.002,Down
9/14/2015,0.655,0.655,0.64,0.645,0.645,0.022900763,-0.015560775,Down,0.005,Down,508243,-298229,Down,0.033531715,-0.011292863,Down,0.647,-0.003,Down,1673349.8,-800307.8,Down,0.64,0.001,Up
9/15/2015,0.65,0.65,0.63,0.63,0.63,0.030769231,0.007868467,Up,-0.015,Up,493071,-15172,Down,0.032166765,-0.001364951,Down,0.644,-0.003,Down,956796.6,-716553.2,Down,0.6405,0.0005,Up
9/16/2015,0.635,0.65,0.63,0.64,0.64,0.031496063,0.000726832,Up,0.01,Up,257684,-235387,Down,0.033885824,0.00171906,Up,0.641,-0.003,Down,800692.6,-156104,Down,0.6415,0.001,Up
9/17/2015,0.645,0.65,0.64,0.645,0.645,0.015503876,-0.015992187,Down,0.005,Down,1443758,1186074,Up,0.027826294,-0.00605953,Down,0.64,-0.001,Down,701845.6,-98847,Down,0.644,0.0025,Up
9/18/2015,0.65,0.65,0.635,0.635,0.635,0.023076923,0.007573047,Up,-0.01,Down,629924,-813834,Down,0.024749371,-0.003076923,Down,0.639,-0.001,Down,666536,-35309.6,Down,0.6445,0.0005,Up
9/21/2015,0.64,0.64,0.63,0.63,0.63,0.015625,-0.007451923,Down,-0.005,Up,955795,325871,Up,0.023294219,-0.001455153,Down,0.636,-0.003,Down,756046.4,89510.4,Up,0.6415,-0.003,Down
9/22/2015,0.64,0.645,0.635,0.635,0.635,0.015625,0,Flat,0.005,Up,1612302,656507,Up,0.020265372,-0.003028846,Down,0.637,0.001,Up,979892.6,223846.2,Up,0.6405,-0.001,Down
9/23/2015,0.63,0.645,0.63,0.645,0.645,0.023809524,0.008184524,Up,0.01,Up,493138,-1119164,Down,0.018728065,-0.001537308,Down,0.638,0.001,Up,1026983.4,47090.8,Up,0.6395,-0.001,Down
9/24/2015,0.645,0.655,0.645,0.655,0.655,0.015503876,-0.008305648,Down,0.01,Down,404667,-88471,Down,0.018728065,0,Flat,0.64,0.002,Up,819165.2,-207818.2,Down,0.64,0.0005,Up
9/25/2015,0.645,0.655,0.64,0.65,0.65,0.023255814,0.007751938,Up,-0.005,Flat,1623472,1218805,Up,0.018763843,3.57782E-05,Up,0.643,0.003,Up,1017874.8,198709.6,Up,0.641,0.001,Up
9/28/2015,0.65,0.65,0.645,0.65,0.65,0.007692308,-0.015563506,Down,0,Down,606424,-1017048,Down,0.017177304,-0.001586538,Down,0.647,0.004,Up,948000.6,-69874.2,Down,0.6415,0.0005,Up
9/29/2015,0.645,0.645,0.637,0.64,0.64,0.012403101,0.004710793,Up,-0.01,Flat,621472,15048,Up,0.016532924,-0.00064438,Down,0.648,0.001,Up,749834.6,-198166,Down,0.6425,0.001,Up
9/30/2015,0.635,0.64,0.635,0.64,0.64,0.007874016,-0.004529085,Down,0,Flat,353375,-268097,Down,0.013345823,-0.003187102,Down,0.647,-0.001,Down,721882,-27952.6,Down,0.6425,0,Flat
10/1/2015,0.645,0.645,0.635,0.64,0.64,0.015503876,0.00762986,Up,0,Up,401530,48155,Up,0.013345823,0,Flat,0.644,-0.003,Down,721254.6,-627.4,Down,0.642,-0.0005,Down
10/2/2015,0.64,0.655,0.635,0.65,0.65,0.03125,0.015746124,Up,0.01,Flat,2233489,1831959,Up,0.01494466,0.001598837,Up,0.644,0,Flat,843258,122003.4,Up,0.6435,0.0015,Up
10/5/2015,0.655,0.66,0.647,0.65,0.65,0.019847328,-0.011402672,Down,0,Up,641433,-1592056,Down,0.017375664,0.002431004,Up,0.644,0,Flat,850259.8,7001.8,Up,0.6455,0.002,Up
10/6/2015,0.66,0.66,0.65,0.66,0.66,0.015151515,-0.004695813,Down,0.01,Down,740995,99562,Up,0.017925347,0.000549683,Up,0.648,0.004,Up,874164.4,23904.6,Up,0.648,0.0025,Up
10/7/2015,0.655,0.662,0.65,0.65,0.65,0.018320611,0.003169096,Up,-0.01,Flat,568756,-172239,Down,0.020014666,0.002089319,Up,0.65,0.002,Up,917240.6,43076.2,Up,0.6485,0.0005,Up
10/8/2015,0.65,0.65,0.65,0.65,0.65,0,-0.018320611,Down,0,Up,0,-568756,Down,0.016913891,-0.003100775,Down,0.652,0.002,Up,836934.6,-80306,Down,0.648,-0.0005,Down
10/9/2015,0.7,0.74,0.7,0.715,0.715,0.057142857,0.057142857,Up,0.065,Up,8826910,8826910,Up,0.022092462,0.005178571,Up,0.665,0.013,Up,2155618.8,1318684.2,Up,0.6545,0.0065,Up
10/12/2015,0.725,0.765,0.72,0.745,0.745,0.062068966,0.004926108,Up,0.03,Down,4404001,-4422909,Down,0.03053679,0.008444327,Up,0.684,0.019,Up,2908132.4,752513.6,Up,0.664,0.0095,Up
10/13/2015,0.745,0.755,0.74,0.74,0.74,0.020134228,-0.041934737,Down,-0.005,Down,2634340,-1769661,Down,0.031533332,0.000996543,Up,0.7,0.016,Up,3286801.4,378669,Up,0.674,0.01,Up
10/14/2015,0.74,0.74,0.705,0.715,0.715,0.047297297,0.027163069,Up,-0.025,Down,1412895,-1221445,Down,0.03732867,0.005795337,Up,0.713,0.013,Up,3455629.2,168827.8,Up,0.6815,0.0075,Up
10/15/2015,0.715,0.72,0.705,0.71,0.71,0.020979021,-0.026318276,Down,-0.005,Up,764033,-648862,Down,0.041524474,0.004195804,Up,0.725,0.012,Up,3608435.8,152806.6,Up,0.6885,0.007,Up
10/16/2015,0.715,0.74,0.71,0.73,0.73,0.041958042,0.020979021,Up,0.02,Down,1625086,861053,Up,0.038487511,-0.003036963,Down,0.728,0.003,Up,2168071,-1440364.8,Down,0.6965,0.008,Up
10/19/2015,0.73,0.735,0.72,0.725,0.725,0.020547945,-0.021410097,Down,-0.005,Up,1387186,-237900,Down,0.030183307,-0.008304204,Down,0.724,-0.004,Down,1564708,-603363,Down,0.704,0.0075,Up
10/20/2015,0.73,0.755,0.73,0.73,0.73,0.034246575,0.01369863,Up,0.005,Down,8596058,7208872,Up,0.033005776,0.002822469,Up,0.722,-0.002,Down,2757051.6,1192343.6,Up,0.711,0.007,Up
10/21/2015,0.73,0.73,0.685,0.685,0.685,0.061643836,0.02739726,Up,-0.045,Up,5030609,-3565449,Down,0.035875084,0.002869308,Up,0.716,-0.006,Down,3480594.4,723542.8,Up,0.7145,0.0035,Up
10/22/2015,0.69,0.71,0.69,0.705,0.705,0.028985507,-0.032658328,Down,0.02,Flat,636618,-4393991,Down,0.037476381,0.001601297,Up,0.715,-0.001,Down,3455111.4,-25483,Down,0.72,0.0055,Up
10/23/2015,0.71,0.725,0.7,0.705,0.705,0.035211268,0.00622576,Up,0,Up,862721,226103,Up,0.036127026,-0.001349355,Down,0.71,-0.005,Down,3302638.4,-152473,Down,0.719,-0.001,Down
10/26/2015,0.725,0.73,0.715,0.715,0.715,0.020689655,-0.014521612,Down,0.01,Down,528542,-334179,Down,0.036155368,2.8342E-05,Up,0.708,-0.002,Down,3130909.6,-171728.8,Down,0.716,-0.003,Down
10/27/2015,0.715,0.715,0.7,0.7,0.7,0.020979021,0.000289366,Up,-0.015,Up,4166105,3637563,Up,0.033501857,-0.002653511,Down,0.702,-0.006,Down,2244919,-885990.6,Down,0.712,-0.004,Down
10/28/2015,0.705,0.74,0.7,0.705,0.705,0.056737589,0.035758568,Up,0.005,Down,1288718,-2877387,Down,0.032520608,-0.000981249,Down,0.706,0.004,Up,1496540.8,-748378.2,Down,0.711,-0.001,Down
10/29/2015,0.695,0.7,0.68,0.69,0.69,0.028776978,-0.02796061,Down,-0.015,Up,5654683,4365965,Up,0.032478902,-4.17058E-05,Down,0.703,-0.003,Down,2500153.8,1003613,Up,0.709,-0.002,Down
10/30/2015,0.705,0.72,0.705,0.715,0.715,0.021276596,-0.007500383,Down,0.025,Up,9009572,3354889,Up,0.029691968,-0.002786934,Down,0.705,0.002,Up,4129524,1629370.2,Up,0.7075,-0.0015,Down
11/2/2015,0.72,0.735,0.72,0.73,0.73,0.020833333,-0.000443262,Down,0.015,Down,4749679,-4259893,Down,0.029720703,2.87356E-05,Up,0.708,0.003,Up,4973751.4,844227.4,Up,0.708,0.0005,Up
